Западная улица, 970 кв. 430, Омск, Россия, 815622
Нагорная улица, 431 кв. 511, Москва, Россия, 826350
Комсомольская ул., 742 кв. 763, Оренбург, Россия, 552037
Озерная пл., 275 кв. 767, Ижевск, Россия, 643606
Набережная улица, 412 кв. 829, Челябинск, Россия, 406409
пл. Некрасова, 256 кв. 462, Волгоград, Россия, 805147
пр. Трактовая, 128 кв. 671, Москва, Россия, 616768
Трудовая пр., 983 кв. 716, Новокузнецк, Россия, 662406
Чкалова улица, 186 кв. 376, Казань, Россия, 776324
проспект Труда, 984 кв. 591, Хабаровск, Россия, 332628
Трудовая площадь, 396 кв. 727, Москва, Россия, 399318
Береговая пр., 178 кв. 855, Рязань, Россия, 519147
пл. Западная, 188 кв. 776, Липецк, Россия, 497242
пр. 8 Марта, 312 кв. 816, Владимир, Россия, 924594
Степная ул., 311 кв. 977, Оренбург, Россия, 126790
Заводская площадь, 411 кв. 449, Магнитогорск, Россия, 123020
площадь Школьный, 373 кв. 341, Иркутск, Россия, 965234
Труда ул., 808 кв. 706, Ижевск, Россия, 352471
Коммунальная проспект, 254 кв. 296, Томск, Россия, 987467
Сосновая улица, 697 кв. 130, Ставрополь, Россия, 973881
пл. Горького, 741 кв. 653, Пенза, Россия, 943458
пр. Сосновая, 461 кв. 267, Екатеринбург, Россия, 297863
Красноармейская проспект, 821 кв. 922, Ярославль, Россия, 453164
пл. Лесной, 652 кв. 542, Белгород, Россия, 753660
Шевченко площадь, 207 кв. 309, Рязань, Россия, 499562
Восточная ул., 244 кв. 744, Владивосток, Россия, 128959
пл. Зеленая, 915 кв. 716, Белгород, Россия, 237246
Набережная пл., 798 кв. 551, Ижевск, Россия, 438074
Шевченко пл., 121 кв. 447, Воронеж, Россия, 377798
Почтовая пл., 959 кв. 725, Иваново, Россия, 786976
улица Школьная, 870 кв. 108, Ставрополь, Россия, 856176
ул. Красная, 467 кв. 704, Челябинск, Россия, 608836
Клубная пл., 600 кв. 449, Белгород, Россия, 578578
площадь Красная, 601 кв. 293, Тюмень, Россия, 471073
проспект Московская, 175 кв. 792, Курск, Россия, 545640
пр. Пролетарская, 103 кв. 735, Владивосток, Россия, 218650
Строителей улица, 307 кв. 180, Ижевск, Россия, 960369
пл. Лермонтова, 511 кв. 958, Липецк, Россия, 138166
улица Строительная, 626 кв. 415, Оренбург, Россия, 492956
площадь Пушкина, 263 кв. 887, Оренбург, Россия, 919194
пл. Солнечная, 582 кв. 129, Ижевск, Россия, 469008
улица Лесная, 650 кв. 839, Краснодар, Россия, 435573
улица Мира, 918 кв. 863, Иваново, Россия, 506833
пл. Ломоносова, 388 кв. 300, Красноярск, Россия, 469153
ул. Матросова, 113 кв. 703, Брянск, Россия, 107641
Куйбышева проспект, 148 кв. 589, Иркутск, Россия, 761416
Школьный пл., 206 кв. 456, Барнаул, Россия, 813435
площадь Горная, 619 кв. 806, Хабаровск, Россия, 425566
улица Больничная, 784 кв. 693, Ставрополь, Россия, 180740
ул. Партизанская, 845 кв. 947, Курск, Россия, 245961
ул. Суворова, 282 кв. 414, Новокузнецк, Россия, 400414
улица Механизаторов, 253 кв. 131, Самара, Россия, 675479
улица Интернациональная, 351 кв. 519, Астрахань, Россия, 963941
пр. Дзержинского, 227 кв. 961, Магнитогорск, Россия, 853779
ул. Кооперативная, 174 кв. 627, Иркутск, Россия, 719351
проспект Совхозная, 850 кв. 606, Ростов-на-Дону, Россия, 528476
ул. Восточная, 683 кв. 444, Нижний Новгород, Россия, 127518
улица Первомайская, 395 кв. 448, Санкт-Петербург, Россия, 490777
Красная улица, 285 кв. 908, Москва, Россия, 348119
проспект Красная, 818 кв. 270, Казань, Россия, 139596
Лермонтова пл., 287 кв. 371, Белгород, Россия, 767444
ул. Майская, 549 кв. 151, Воронеж, Россия, 773827
пл. Садовый, 374 кв. 212, Волгоград, Россия, 985176
Красная пр., 888 кв. 525, Тюмень, Россия, 166228
проспект Матросова, 765 кв. 197, Санкт-Петербург, Россия, 203540
проспект Пионерская, 389 кв. 796, Санкт-Петербург, Россия, 343376
пл. Комарова, 962 кв. 900, Екатеринбург, Россия, 326658
Чапаева площадь, 813 кв. 196, Киров, Россия, 934853
Садовая пл., 855 кв. 424, Ставрополь, Россия, 798667
Подгорная пр., 756 кв. 186, Уфа, Россия, 743096
Чапаева пр., 855 кв. 572, Нижний Новгород, Россия, 168335
пр. Заводская, 483 кв. 888, Екатеринбург, Россия, 433505
пр. Речная, 548 кв. 288, Ставрополь, Россия, 561745
проспект Маяковского, 767 кв. 511, Пермь, Россия, 274858
улица Горького, 453 кв. 291, Ростов-на-Дону, Россия, 122297
пр. Горького, 652 кв. 967, Ставрополь, Россия, 364146
